epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5024,1.54708,4.52329,2.2879,1.6301,0.60805,0.85401,0.78803,0.42975,0.42773,0.58075,0.47243,0.29262,1.51065,3.77812,4.15414,1.94486,0.00038341,0.00038341,0.00038341
2,21.3138,1.09324,1.7466,0.9733,1.27176,0.28554,0.56098,0.43597,0.15967,0.25775,0.46357,0.38002,0.21263,2.31206,4.75126,7.93881,3.18871,0.000775733,0.000775733,0.000775733
3,30.9458,0.97989,1.51233,0.76599,1.23444,0.73148,0.73381,0.78718,0.41369,0.72055,0.73721,0.74706,0.38781,1.55165,2.92449,2.38277,1.99089,0.00116014,0.00116014,0.00116014
4,40.637,0.9494,1.34178,0.69924,1.21779,0.90698,0.86726,0.93591,0.53394,0.83965,0.80659,0.87149,0.47787,1.34437,2.1219,1.05541,1.67777,0.00153662,0.00153662,0.00153662
5,50.5067,1.00201,1.37772,0.68874,1.21698,0.7031,0.88422,0.91067,0.5874,0.65686,0.85297,0.84317,0.48868,1.1346,1.92356,1.83284,1.55828,0.00160099,0.00160099,0.00160099
6,60.3447,0.94702,1.4005,0.66034,1.19004,0.96308,0.93207,0.98202,0.617,0.89126,0.86248,0.88467,0.47302,1.30963,2.02616,1.15722,1.74548,0.00158448,0.00158448,0.00158448
7,70.5377,0.93396,1.30092,0.61713,1.1632,0.94176,0.97363,0.98663,0.66402,0.91902,0.95275,0.9508,0.55408,1.16578,1.53076,0.65972,1.60167,0.00156798,0.00156798,0.00156798
8,80.463,0.86287,1.27831,0.56382,1.14194,0.91378,0.95065,0.97105,0.69598,0.90335,0.93114,0.94848,0.582,1.03337,1.42253,0.83762,1.41844,0.00155148,0.00155148,0.00155148
9,90.3447,0.86559,1.24227,0.56039,1.12895,0.98637,0.97171,0.98756,0.70691,0.96815,0.95426,0.96407,0.55487,1.0338,1.36702,0.78396,1.49636,0.00153497,0.00153497,0.00153497
10,100.263,0.8002,1.18764,0.52374,1.11983,0.97433,0.98889,0.99148,0.7551,0.96291,0.96968,0.9786,0.60647,0.92909,1.26526,0.68126,1.44613,0.00151847,0.00151847,0.00151847
11,110.995,0.78951,1.12856,0.5065,1.09645,0.99149,1,0.99473,0.77425,0.97984,0.98837,0.98418,0.63916,0.84421,1.19998,0.50429,1.29971,0.00150197,0.00150197,0.00150197
12,121.83,0.79814,1.18424,0.49911,1.09512,0.98749,0.99683,0.9933,0.78577,0.97599,0.98534,0.98378,0.63965,0.80847,1.17606,0.47475,1.25187,0.00148546,0.00148546,0.00148546
13,132.842,0.7635,1.12364,0.48646,1.06862,0.97727,0.98889,0.99406,0.72302,0.94805,0.95982,0.96462,0.62535,0.96045,1.33971,0.50133,1.38016,0.00146896,0.00146896,0.00146896
14,143.348,0.75561,1.08913,0.46891,1.08614,0.94326,1,0.99467,0.76616,0.9274,0.98256,0.97662,0.62047,0.88081,1.22944,0.52968,1.22719,0.00145246,0.00145246,0.00145246
15,153.746,0.73251,1.08341,0.46689,1.05983,0.98792,0.99444,0.99483,0.79317,0.98218,0.98863,0.99055,0.65181,0.80447,1.22333,0.43913,1.24573,0.00143595,0.00143595,0.00143595
16,164.041,0.69569,1.04974,0.42788,1.03634,0.99582,0.99609,0.995,0.77363,0.99,0.99034,0.98843,0.65389,0.91112,1.14068,0.47499,1.34159,0.00141945,0.00141945,0.00141945
17,174.023,0.71878,1.05718,0.46304,1.05222,0.98428,0.99627,0.99483,0.78249,0.97289,0.98464,0.98948,0.67834,0.82576,1.10091,0.4903,1.18054,0.00140295,0.00140295,0.00140295
18,183.94,0.69196,1.05222,0.43666,1.04456,0.99272,0.99444,0.99495,0.81746,0.98694,0.98863,0.98981,0.65358,0.71913,1.15267,0.44117,1.17638,0.00138644,0.00138644,0.00138644
19,193.868,0.71567,1.09654,0.45081,1.03721,0.99086,0.99444,0.99489,0.79342,0.98515,0.98863,0.98983,0.64728,0.81313,1.1325,0.45785,1.24741,0.00136994,0.00136994,0.00136994
20,203.884,0.70746,1.08528,0.43574,1.04388,0.98781,0.99343,0.99489,0.79726,0.98208,0.98762,0.99022,0.66323,0.77544,1.10802,0.42932,1.16889,0.00135344,0.00135344,0.00135344
21,213.903,0.6996,1.05098,0.43541,1.04083,0.99145,1,0.99471,0.80322,0.9743,0.98256,0.97956,0.6554,0.78317,1.16365,0.45265,1.18761,0.00133693,0.00133693,0.00133693
22,224.13,0.65141,1.04094,0.4028,1.00735,0.99342,1,0.995,0.80853,0.97617,0.98256,0.97726,0.64492,0.7808,1.21023,0.39902,1.21593,0.00132043,0.00132043,0.00132043
23,234.367,0.66034,1.05094,0.41043,1.02283,0.9995,0.99982,0.995,0.83516,0.99369,0.99401,0.99016,0.66017,0.67945,1.16295,0.37002,1.10437,0.00130393,0.00130393,0.00130393
24,244.764,0.68669,1.04206,0.40869,1.02108,0.99048,1,0.99484,0.80451,0.97889,0.98837,0.98073,0.65875,0.76811,1.10857,0.39709,1.18371,0.00128742,0.00128742,0.00128742
25,255.295,0.66791,1.03554,0.41378,1.02362,0.99859,1,0.995,0.84291,0.99278,0.99419,0.98873,0.6719,0.6698,1.10195,0.36445,1.09558,0.00127092,0.00127092,0.00127092
26,266.215,0.6361,1.00994,0.39407,0.99008,0.99632,0.9981,0.995,0.83889,0.99055,0.99229,0.98535,0.67067,0.67788,1.11712,0.36534,1.06986,0.00125442,0.00125442,0.00125442
27,276.302,0.65025,1.04601,0.40127,1.01079,0.99647,0.99878,0.995,0.82942,0.98492,0.98716,0.98446,0.68173,0.68438,1.12831,0.38251,1.08096,0.00123791,0.00123791,0.00123791
28,286.489,0.62565,0.97974,0.3762,0.98461,0.99885,1,0.995,0.82919,0.99304,0.99419,0.98826,0.67361,0.69578,1.09117,0.35113,1.11325,0.00122141,0.00122141,0.00122141
29,296.367,0.63033,1.00249,0.3894,0.99528,0.99855,1,0.995,0.83766,0.98694,0.98837,0.98754,0.67483,0.64863,1.07769,0.36024,1.05391,0.00120491,0.00120491,0.00120491
30,306.408,0.6536,0.97967,0.38434,1.00259,0.99907,1,0.995,0.842,0.99377,0.99419,0.99228,0.69643,0.67287,1.09234,0.35031,1.0943,0.0011884,0.0011884,0.0011884
31,316.164,0.61159,0.98825,0.3694,0.9885,0.9977,1,0.995,0.86637,0.99191,0.99419,0.99249,0.70064,0.58282,1.05686,0.31643,1.00842,0.0011719,0.0011719,0.0011719
32,325.908,0.60412,1.04553,0.36555,0.98797,0.99848,1,0.995,0.8566,0.99268,0.99419,0.99137,0.69168,0.59192,1.11776,0.32116,1.00734,0.0011554,0.0011554,0.0011554
33,335.532,0.60177,0.96877,0.35834,0.98264,0.99629,1,0.995,0.84654,0.99052,0.99419,0.99004,0.68703,0.62072,1.07177,0.33994,1.02565,0.00113889,0.00113889,0.00113889
