epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1502,0.58165,2.82168,1.27929,0.01662,1,0.44945,0.40571,0.36744,3.20088,1.01224,0.000405702,0.000405702,0.000405702
2,25.9261,0.41158,1.9836,1.09033,1,0.08653,0.60099,0.57875,0.32544,2.63059,0.81148,0.000806086,0.000806086,0.000806086
3,34.5252,0.38672,1.54117,1.04917,0.59356,0.50703,0.56528,0.44113,0.80838,2.77432,2.14308,0.00118997,0.00118997,0.00118997
4,43.0956,0.39516,1.33148,1.05714,0.64853,0.29865,0.46285,0.38159,0.53084,2.70412,1.16719,0.00117575,0.00117575,0.00117575
5,51.597,0.35319,1.16779,1.01664,0.71614,0.824,0.85073,0.74333,0.57153,1.4086,1.15323,0.001151,0.001151,0.001151
6,60.1266,0.32608,1.10866,1.00577,0.85319,0.91939,0.91537,0.83392,0.44608,1.03459,0.96732,0.00112625,0.00112625,0.00112625
7,68.7031,0.31696,1.05637,1.00503,0.76967,0.44208,0.47341,0.40974,0.52811,2.61946,1.07265,0.0011015,0.0011015,0.0011015
8,77.2937,0.3125,1.00954,0.99879,0.82918,0.84623,0.92534,0.91832,0.22828,0.83507,0.66748,0.00107675,0.00107675,0.00107675
9,85.8977,0.29171,0.92581,0.99066,0.80654,0.84847,0.96815,0.96291,0.19996,0.82257,0.61335,0.001052,0.001052,0.001052
10,94.5516,0.29129,0.91651,0.98137,0.93999,0.92056,0.96087,0.95189,0.2395,0.55513,0.66354,0.00102725,0.00102725,0.00102725
11,103.12,0.27784,0.83405,0.97205,0.89555,0.92398,0.97344,0.94229,0.28095,0.62901,0.76812,0.0010025,0.0010025,0.0010025
12,111.659,0.2799,0.85039,0.97132,0.86565,0.632,0.91384,0.88149,0.31048,1.2641,0.74905,0.00097775,0.00097775,0.00097775
13,120.469,0.27507,0.80669,0.96645,0.72257,0.67177,0.90039,0.88176,0.25434,1.53568,0.69733,0.000953,0.000953,0.000953
14,129.045,0.2634,0.76297,0.95736,0.58392,0.82514,0.82681,0.78253,0.30703,1.02502,0.74656,0.00092825,0.00092825,0.00092825
15,137.686,0.26694,0.75434,0.96912,0.6609,0.84476,0.9292,0.91222,0.27701,1.07308,0.70397,0.0009035,0.0009035,0.0009035
16,146.278,0.26766,0.7303,0.96579,0.89357,0.91021,0.95804,0.94449,0.25543,0.52241,0.68922,0.00087875,0.00087875,0.00087875
17,154.94,0.24876,0.69288,0.95419,0.91061,0.93988,0.96182,0.95121,0.25205,0.42828,0.67993,0.000854,0.000854,0.000854
18,163.624,0.25396,0.67034,0.95426,0.93448,0.94005,0.97813,0.96693,0.19204,0.42015,0.60393,0.00082925,0.00082925,0.00082925
19,172.482,0.25646,0.66103,0.95952,0.89929,0.88936,0.96252,0.9274,0.37171,0.50508,0.81229,0.0008045,0.0008045,0.0008045
20,182.031,0.26171,0.63527,0.95634,0.91823,0.94036,0.98192,0.97766,0.22243,0.41459,0.63163,0.00077975,0.00077975,0.00077975
21,191.755,0.24566,0.65515,0.94894,0.91323,0.92844,0.98105,0.97036,0.26691,0.46285,0.67788,0.000755,0.000755,0.000755
22,201.196,0.23442,0.63857,0.94907,0.94588,0.95738,0.9743,0.96735,0.17655,0.35258,0.57816,0.00073025,0.00073025,0.00073025
23,210.541,0.23295,0.60237,0.94403,0.91461,0.93391,0.97049,0.96746,0.20515,0.43215,0.60247,0.0007055,0.0007055,0.0007055
24,219.925,0.22597,0.60182,0.94149,0.94282,0.95,0.97121,0.95025,0.2778,0.4366,0.69066,0.00068075,0.00068075,0.00068075
25,229.762,0.23264,0.60395,0.94801,0.94641,0.94989,0.97687,0.96761,0.23361,0.38564,0.6449,0.000656,0.000656,0.000656
26,238.959,0.22377,0.58175,0.93736,0.93002,0.9307,0.96739,0.96451,0.21427,0.37374,0.63805,0.00063125,0.00063125,0.00063125
27,247.934,0.22696,0.59616,0.94288,0.94826,0.96057,0.98051,0.958,0.26066,0.33861,0.66892,0.0006065,0.0006065,0.0006065
28,256.82,0.22425,0.54423,0.93726,0.93179,0.92733,0.97186,0.96823,0.1638,0.33729,0.57252,0.00058175,0.00058175,0.00058175
29,265.782,0.22138,0.54592,0.94158,0.95288,0.92748,0.98067,0.97674,0.20441,0.35213,0.62063,0.000557,0.000557,0.000557
30,274.565,0.20622,0.52698,0.93666,0.95333,0.93922,0.98493,0.98254,0.17059,0.29176,0.57095,0.00053225,0.00053225,0.00053225
31,283.634,0.20647,0.56205,0.93386,0.92938,0.80786,0.96994,0.96457,0.21904,0.46437,0.65232,0.0005075,0.0005075,0.0005075
32,292.989,0.21152,0.53605,0.94389,0.95806,0.92581,0.98416,0.97213,0.21757,0.36623,0.64206,0.00048275,0.00048275,0.00048275
33,302.165,0.20636,0.49791,0.94074,0.97036,0.93349,0.98727,0.9844,0.1847,0.28762,0.59649,0.000458,0.000458,0.000458
34,310.847,0.20347,0.53393,0.93474,0.92858,0.94837,0.98286,0.97913,0.16221,0.29796,0.57444,0.00043325,0.00043325,0.00043325
35,319.352,0.19743,0.5062,0.93286,0.93204,0.88495,0.96623,0.96427,0.15471,0.48631,0.5677,0.0004085,0.0004085,0.0004085
36,327.576,0.19595,0.49637,0.93097,0.9119,0.89805,0.9665,0.96526,0.17314,0.3982,0.57969,0.00038375,0.00038375,0.00038375
37,335.911,0.19335,0.46373,0.92831,0.98866,0.94064,0.99152,0.98866,0.173,0.26625,0.57954,0.000359,0.000359,0.000359
38,344.252,0.19544,0.489,0.93373,0.93432,0.9741,0.98943,0.98677,0.16607,0.26794,0.57561,0.00033425,0.00033425,0.00033425
39,352.522,0.18443,0.49113,0.92921,0.97281,0.96795,0.99137,0.98764,0.18496,0.24787,0.59144,0.0003095,0.0003095,0.0003095
40,361.568,0.17859,0.41428,0.92158,0.96828,0.95088,0.98661,0.98566,0.1545,0.25352,0.56461,0.00028475,0.00028475,0.00028475
41,389.621,0.12564,0.34007,0.92664,0.86455,0.94257,0.96241,0.95945,0.15246,0.47644,0.55013,0.00026,0.00026,0.00026
42,397.824,0.11883,0.33387,0.91144,0.86015,0.94367,0.96467,0.96167,0.13804,0.52235,0.5392,0.00023525,0.00023525,0.00023525
43,406.118,0.10899,0.27712,0.91639,0.95877,0.96593,0.99203,0.99107,0.14127,0.18947,0.53994,0.0002105,0.0002105,0.0002105
44,414.27,0.10017,0.24115,0.9207,0.9781,0.97593,0.99292,0.99198,0.12833,0.16246,0.53002,0.00018575,0.00018575,0.00018575
45,422.553,0.09707,0.20823,0.91162,0.9839,0.97841,0.99429,0.99337,0.15658,0.20253,0.55714,0.000161,0.000161,0.000161
46,430.754,0.09828,0.19829,0.90011,0.98286,0.96434,0.99226,0.99226,0.13357,0.19692,0.52762,0.00013625,0.00013625,0.00013625
47,439.022,0.0943,0.18393,0.89334,0.98906,0.99194,0.995,0.99408,0.13839,0.15339,0.53768,0.0001115,0.0001115,0.0001115
48,447.192,0.08801,0.16771,0.89043,0.97494,0.97014,0.995,0.99411,0.13161,0.19092,0.53082,8.675e-05,8.675e-05,8.675e-05
49,455.4,0.09143,0.19097,0.89808,0.98993,0.98231,0.995,0.99415,0.13106,0.16446,0.53192,6.2e-05,6.2e-05,6.2e-05
50,463.602,0.08672,0.1795,0.89816,0.99204,0.9825,0.995,0.99415,0.12548,0.16945,0.52352,3.725e-05,3.725e-05,3.725e-05
