epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4534,1.02948,2.86552,1.63515,0.00323,1,0.59081,0.34371,0.48841,2.92721,1.40154,0.00021671,0.00021671,0.00021671
2,73.1911,0.62958,2.23726,1.2769,0.00319,1,0.53964,0.44007,0.4677,2.85038,1.55532,0.000441178,0.000441178,0.000441178
3,109.761,0.58434,1.73892,1.22396,0.00326,1,0.79147,0.66055,0.56954,2.47125,1.56663,0.000656405,0.000656405,0.000656405
4,139.498,0.60399,1.32814,1.20469,0.78741,0.3957,0.77211,0.60164,0.70159,2.13357,1.63338,0.000862389,0.000862389,0.000862389
5,176.764,0.62255,1.09853,1.23827,0.473,0.66667,0.52927,0.40767,0.79575,2.10391,1.56937,0.00105913,0.00105913,0.00105913
6,209.488,0.63638,1.14406,1.23891,0.53024,0.53409,0.47793,0.20768,0.92081,2.5204,2.20618,0.00124663,0.00124663,0.00124663
7,242.697,0.61645,0.9883,1.20833,0.51457,0.70272,0.51564,0.32813,0.94621,3.09807,2.15971,0.00142489,0.00142489,0.00142489
8,276.239,0.58053,0.90859,1.19587,0.80139,0.41667,0.62816,0.51141,0.55937,2.61118,1.36162,0.00143595,0.00143595,0.00143595
9,309.933,0.55888,0.93876,1.17547,0.74578,0.88803,0.79265,0.55169,1.07167,1.61823,2.59468,0.00140295,0.00140295,0.00140295
10,330.731,0.58495,0.8964,1.19858,0.28724,0.81818,0.35619,0.148,1.46092,2.87335,3.43855,0.00136994,0.00136994,0.00136994
11,341.84,0.57311,0.89625,1.19671,0.8405,0.85835,0.95561,0.82107,0.50613,1.07233,1.27193,0.00133693,0.00133693,0.00133693
12,364.297,0.56926,0.87828,1.16443,0.60771,0.77002,0.6499,0.53666,0.64347,2.49696,1.62674,0.00130393,0.00130393,0.00130393
13,396.446,0.54226,0.84774,1.16004,0.61413,0.75775,0.76805,0.54223,0.78619,2.56433,1.78754,0.00127092,0.00127092,0.00127092
14,428.728,0.55141,0.77755,1.16442,0.9494,0.93838,0.98191,0.89067,0.48999,0.86976,1.24687,0.00123791,0.00123791,0.00123791
15,460.496,0.52744,0.79063,1.15774,0.88231,0.88155,0.97428,0.87956,0.44446,0.78517,1.2346,0.00120491,0.00120491,0.00120491
16,492.271,0.53682,0.75496,1.16164,0.95384,0.9541,0.96792,0.88255,0.46677,0.68474,1.23705,0.0011719,0.0011719,0.0011719
17,524.025,0.53943,0.74632,1.15284,0.90149,0.91386,0.94346,0.8468,0.46527,0.68308,1.2098,0.00113889,0.00113889,0.00113889
18,555.85,0.5639,0.82368,1.17811,0.91246,0.91667,0.94243,0.83747,0.48873,0.77829,1.26707,0.00110589,0.00110589,0.00110589
19,587.68,0.51786,0.72136,1.1361,0.91363,0.77572,0.92073,0.7936,0.53078,0.96792,1.30239,0.00107288,0.00107288,0.00107288
20,619.47,0.52334,0.7091,1.15341,0.91911,0.95833,0.97428,0.77234,0.57079,0.93315,1.31222,0.00103987,0.00103987,0.00103987
21,651.222,0.51821,0.65816,1.1196,0.96699,0.95833,0.98259,0.82841,0.50778,0.6832,1.26176,0.00100687,0.00100687,0.00100687
22,683.053,0.4985,0.68493,1.11439,0.89694,0.93209,0.97255,0.83395,0.53026,0.66074,1.35667,0.000973861,0.000973861,0.000973861
