epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68531,0.83757,2.87536,1.48862,0.00602,1,0.995,0.796,0.43135,2.90687,1.02532,0.00020004,0.00020004,0.00020004
2,7.55189,0.42294,1.97229,1.13825,0.00633,1,0.995,0.33167,1.24499,3.14097,2.28895,0.000408498,0.000408498,0.000408498
3,10.3279,0.45347,1.39644,1.12408,0.00833,1,0.995,0.8955,0.27783,2.41677,0.76848,0.000608375,0.000608375,0.000608375
4,13.1256,0.41808,1.02624,1.08459,0.88211,1,0.995,0.6965,1.1654,1.48142,4.87355,0.00079967,0.00079967,0.00079967
5,15.8526,0.387,0.84625,1.07752,0.92659,1,0.995,0.6965,1.4365,1.65435,0.9261,0.000982383,0.000982383,0.000982383
6,18.5946,0.39652,0.75406,1.06608,0.94683,1,0.995,0.995,0.15009,1.21767,0.50247,0.00115651,0.00115651,0.00115651
7,21.2541,0.40505,0.7045,1.05008,0.94893,1,0.995,0.8955,0.59475,1.21249,1.13724,0.00132206,0.00132206,0.00132206
8,23.971,0.37639,0.65581,1.04455,0.94107,1,0.995,0.8955,0.37648,1.10742,0.73628,0.00143595,0.00143595,0.00143595
9,26.5947,0.3595,0.60434,1.03706,0.7965,1,0.995,0.8955,0.73071,1.45905,0.95314,0.00140295,0.00140295,0.00140295
10,29.266,0.36053,0.58258,1.03163,0.8756,1,0.995,0.8955,0.41067,1.2576,0.6862,0.00136994,0.00136994,0.00136994
11,31.9073,0.37143,0.57058,1.03215,0.95477,1,0.995,0.8955,0.46926,0.73729,0.86691,0.00133693,0.00133693,0.00133693
12,34.6744,0.3644,0.55359,1.03306,0.97361,1,0.995,0.995,0.45555,0.66869,0.92215,0.00130393,0.00130393,0.00130393
13,37.3345,0.33619,0.53514,1.0057,0.97297,1,0.995,0.995,0.26433,0.59944,0.59578,0.00127092,0.00127092,0.00127092
14,40.0608,0.32653,0.49765,1.00395,0.97374,1,0.995,0.995,0.38469,0.53752,0.63495,0.00123791,0.00123791,0.00123791
15,42.7177,0.32561,0.50195,1.01632,0.97392,1,0.995,0.995,0.34695,0.64223,0.5395,0.00120491,0.00120491,0.00120491
16,45.451,0.32893,0.51118,1.00472,0.97365,1,0.995,0.995,0.23714,0.53448,0.50615,0.0011719,0.0011719,0.0011719
