epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9499,1.03883,4.38639,1.72416,0.01321,1,0.69214,0.64671,0.28489,3.42971,0.92102,0.000125,0.000125,0.000125
2,25.5819,0.28807,2.31469,1.06367,0.05747,1,0.7597,0.7597,0.26938,3.39712,0.75696,0.000236513,0.000236513,0.000236513
3,28.1566,0.24496,1.63154,0.99274,0.06329,1,0.76789,0.76789,0.22939,3.09743,0.71282,0.0003208,0.0003208,0.0003208
4,30.6803,0.23784,1.44134,1.00775,0.0905,1,0.7265,0.7265,0.24138,3.1312,0.86918,0.000377863,0.000377863,0.000377863
5,33.2445,0.22234,1.38912,0.99986,0.07353,1,0.65268,0.61573,0.41237,2.72745,1.0104,0.0004077,0.0004077,0.0004077
6,35.7846,0.21465,1.31608,0.99642,0.63871,1,0.80982,0.80982,0.26037,2.43762,0.71456,0.000410313,0.000410313,0.000410313
7,38.221,0.21773,1.32225,0.97224,0.63955,1,0.77591,0.77591,0.21857,1.97553,0.67061,0.0003857,0.0003857,0.0003857
8,40.7186,0.19583,1.21733,0.94938,0.64307,1,0.78122,0.78122,0.19499,1.83133,0.6257,0.000333863,0.000333863,0.000333863
9,43.3044,0.16486,1.21081,0.95088,0.64303,1,0.78688,0.78688,0.2002,1.57917,0.63951,0.0002548,0.0002548,0.0002548
10,45.8312,0.14045,1.15284,0.93269,0.64412,1,0.74,0.73062,0.18158,1.5443,0.61432,0.00013625,0.00013625,0.00013625
